file_name,transcription
550new2,sabes a qué hora empieza la cena
698new,habí­an padecido en menor escala
428new2,siempre se despierta a las cinco y media
540new2,me llevo bien con todo el mundo
438new2,yo soñé con tener un buen trabajo
88new,san martí­n creí­a que el alto perú no podí­a conquistarse
161new4,se caracteriza su autor por su honradez objetividad espí­ritu de justicia e imparcialidad
195new5,desembarcó y los indí­genas del lugar lo recibieron con respeto y le entregaron nuevos regalos
305new2,este imperio comprendí­a gran parte del ecuador actual para extenderse hacia el sur
582new1,mil quinientos treintidós pizarro viaja a cajamarca y captura a atahualpa
289new3,después de una serie de luchas cortés suspendió de nueva cuenta sus invasiones
315new2,pachacutec alcanzó un éxito brillante en su actuación bélica y diplomática
171new4,la primera lí­nea era de honderos y flecheros que constituí­an la infanterí­a ligera
185new5,después pasaron a la pení­nsula de yucatán y continuaron a lo largo del litoral
592new1,comienza la guerra entre pizarro y almagro
299new3,por su parte los conquistadores traí­an consigo ideas del renacimiento
249,mandó alvarado colocar diez hombres en cada puerta del espacioso recinto
452new,siga derecho para tomar el autobús
207new4,se enfrentó a pánfilo narváez y lo derrotó en zempoala incorporando las fuerzas vencidas a las suyas
303new,ningún otro imperio tuvo un surgimiento y caí­da más dramático que el de los incas
552new,cuál es su nombre
217new4,cortés sostiene su primera batalla con los indios y al vencerlos recibe como regalo a la malinche
203new,el doce de octubre cortés salió de tlaxcala al mando de sus tropas
636new2,atahualpa se presentó en la ciudad andina
452new4,siga derecho para tomar el autobús
275,las aguas se precipitaron sobre los españoles e indí­genas que huyeron
513,tengo frí­o apaga el ventilador
77new5,sucre tomó guayaquil y quito donde derrotó definitivamente al enemigo
83new4,pero atahualpa ya no estaba ahí­ sino en un palacio fortificado
6new5,centro américa se separó de méxico como un estado federado
442new4,no se preocupe
507,no se aceptan tarjetas de crédito
626new2,abrazó a los recién llegados
261,este capí­tulo se conoce en la historia como el de la noche triste por que cortés lloró su derrota bajo un frondoso árbol
67new5,por eso ecuador decidió desconocer el acuerdo y una vez más la frontera parecí­a obscura
93new4,santa anna recibió parte del triunfo con setenta muertos pero se asegura que fueron más de trescientos
332new5,a atahualpa se le habí­a designado la parte norte del imperio con su capital en quito
156new3,fue un incansable y audaz militar que motivó con su liderazgo a sus soldados
146new3,sorprendieron a europeos y españoles cuando descubrieron el nuevo mundo
322new5,habí­an de afrontar en las montañas una prueba de supervivencia que duraba nueve dí­as
170new1,el ejército mexica formaba tres lí­neas
686new,pedro de alvarado continuó las exploraciones
567new5,en mil quinientos diez pizarro participa en la expedición de alonzo de ojeda
593new4,mil quinientos treinta y ocho batalla de las salinas
431new,qué estás haciendo
703new3,estaban olvidadas de la autoridad central de la colonia
360new,qué le vaya bien
160new1,su verdadera historia de la conquista de la nueva españa es un libro clásico
96new,sin embargo ecuador no querí­a perder el territorio tan fácilmente
531new,está lloviendo y las ventanas están abiertas
260new,sin embargo el movimiento de los guerreros aztecas no fue lo suficientemente rápido
713new3,recorrió el valle del cauca
577new5,duró tres años y terminó con la muerte de huascar
583new4,el inca ofrece pagar rescate
216new1,en mil quinientos diecinueve cortés llega a cozumel y recoge a jerónimo de aguilar
40new2,en puebla fue derrotado y fusilado don nicolás bravo
465new3,no vamos al juego sino a la playa
491new2,socorro
601new5,atahualpa se encontraba en cajamarca
50new2,guadalupe victoria fue nombrado entonces como primer presidente de méxico
206new1,cortés salió de inmediato contra narváez dejando a pedro de alvarado en tenochtitlán
611new5,entre los presentes habí­a ropa fina
475new3,ellos son inteligentes
481new2,qué opinas
348new3,señalando al sur dijo por aquí­ se va al perú a ser ricos
443new1,no te quejes tanto
230new3,los aztecas atacan a las fuerzas de cortés y moctezuma es muerto
92new1,santa anna intentó seguir la guerra y capturar puebla
358new3,soy de méxico
453new1,esta tarea es para mañana
82new1,pedro joaquí­n chamorro era lí­der dentro de la udel
220new3,el dieciséis de junio de mil quinientos diecinueve marcha hacia tenochtitlán con quinientos veinte hombres
421new1,tienes fiebre
252new3,ninguno de los señores de tenochtitlán salió a recibirlo
559new1,me da lo mismo
431new1,qué estás haciendo
242new3,cuauhtemoc es nombrado emperador mexica
549new1,yo jugaba mucho cuando era niño
16,el ché dirigió la insurrección sin el apoyo del partido
22new2,el frente sandinista de liberación nacional tuvo sus orí­genes en mil novecientos sesenta y uno
274new1,como respuesta a esa amenaza los guerreros de ixtapalapa abrieron una amplia brecha en un dique del lago
663new5,lo condenaron a muerte y lo ejecutaron
407new3,dime la verdad
264new1,también hubiera sido realidad sin la indoblegable energí­a de cortés
32new2,el presidente madero sin detenerse para analizar lo bueno del plan se preparó a combatirlo
417new3,mi hermano menor tiene dieciocho años
673new5,almagro fue vencido por pizarro
659,huáscar era prisionero de uno de sus generales
112new1,también es lógico admitir que la emigración se producí­a no de una sola vez sino sucesivamente
619new3,el plan de pizarro era apoderarse de atahualpa
489new4,necesito algo de comer
211new,este dios estaba representado principalmente por la serpiente coatl de cuyo cuerpo nacen plumas de quetzal
540new,me llevo bien con todo el mundo
58new4,los aztecas desarrollaron una gran actividad guerrera
505new5,este hotel es barato
499new4,es necesario confirmar el vuelo
102new1,la milicia clero y otros estaban en manos de los españoles peninsulares
609new3,mandó presentes y saludos para pizarro
515new5,busco un apartamento amueblado
311new,se supone que los primeros peruanos emigraron desde el norte
440new,hace un año que decidí­ mudarme
48new4,fundó santiago la ciudad que lleva su nombre y luchó contra los aguerridos araucanos
665,se apoderaron del oro y las piedras preciosas del coriconcha
228new5,pedro de alvarado y sus tropas realizan una matanza durante la fiesta de toxcatl
134new3,los aztecas desarrollaron una gran actividad guerrera
103,esta lección tiene por objeto que el estudiante se inicie en las lecturas militares
350new5,la historia los conoce con el nombre de los trece gallos
238new5,cortés manda construir trece bergantines para atacar por agua a tenochtitlán
117,los zapotecas y los mixtecos se establecieron al centro y al oeste de oaxaca y guerrero
671,estalló una guerra civil
340new5,tras mil dificultades los expedicionarios llegaron primero a la costa occidental de la actual colombia
124new3,no eran adeptos a un tipo de guerra organizada y disciplinada
430new4,la cuenta por favor
548new4,él fue presidente del club por cinco años
498,quisiera comprar un boleto de ida y vuelta
15new5,el che guevara fue el segundo hombre que se unió a fidel castro en el exilio en méxico
644new2,se dirigió a los españoles en idioma quechua
420new4,tengo dolor de cabeza
558new4,enrique canta mal
265new4,moctezuma fue muerto por sus captores y tomó su cargo cuitlahuac
291new5,finalmente cuauhtemoc fue hecho prisionero por cristóbal e olid y llevado ante cortés
272new,hernán cortés luego de haber permanecido doce dí­as en texcoco se encaminó hacia ixtapalapa
523new,llegamos tarde porque tuvimos un pinchazo
84new,por eso ecuador decidió desconocer el acuerdo y una vez más la frontera parecí­a obscura
179new2,entre el siete y ocho de noviembre de mil quinientos diecinueve entró cortés a la metrópoli mexicana en orden de guerra
686new1,pedro de alvarado continuó las exploraciones
275new4,las aguas se precipitaron sobre los españoles e indí­genas que huyeron
281new5,dos expediciones más al sur del valle de méxico emprendió cortés el cinco de abril de mil quinientos veinte y uno
372new,sí­ me gusta
423new,dámelo
169new2,en una ceremonia se pintaba de blanco al lí­der azteca para el combate
696new1,esos asaltos trajeron graves consecuencias para sus poblaciones
694new,los españoles establecieron protección en algunos puertos
498new1,quisiera comprar un boleto de ida y vuelta
367new2,buenos dí­as
393new3,no es que no puedo
103new4,esta lección tiene por objeto que el estudiante se inicie en las lecturas militares
49new1,george dewey estaba preparándose con órdenes de destruir la flota española
113new4,las principales culturas aborí­genes fueron algunas
488new1,no entiendo
377new2,ellas son cajeras
383new3,queda lejos de aquí­
59new1,los reyes de españa habí­an reconocido los abusos que cometí­an los blancos con la clase indí­gena
329,este imperio confiado y en expansión de doce millones de personas iba a sufrir una conmoción inminente
532new2,qué quiere ser usted en el futuro
301,objetivo que el cadete conozca cómo un pequeño grupo de aventureros españoles llegó al perú en mil quinientos treintidós
467,generalmente no bebemos cerveza
522new2,hace falta una pila más
473,no te pido nada
315,pachacutec alcanzó un éxito brillante en su actuación bélica y diplomática
472,el camarero ya nos dio la cuenta
522new3,hace falta una pila más
229new1,cortés regresa a tenochtitlán y ordena que moctezuma calme a su gente pero el pueblo ya no lo obedece
351new1,a fines de mil quinientos veintisiete pizarro retornó a panamá
314,en mil cuatrocientos treinta y ocho pachacutec yupanqui se convirtió en inca y fue él quien inició la expansión de estado
300,trasladaban la fe de un dios y traí­an la crueldad y ambición que supone la conquista
532new3,qué quiere ser usted en el futuro
239new1,los españoles e indios saquean y destruyen texcoco tlacopan y demás pueblos aliados a los aztecas
466,quiere tomar algo
341new1,de allí­ siguieron viaje al perú
377new3,ellas son cajeras
383new2,queda lejos de aquí­
113new5,las principales culturas aborí­genes fueron algunas
328,los incas difundieron su lengua quechua como lengua común
504new1,señor garcí­a preséntese a la puerta numero once
103new5,esta lección tiene por objeto que el estudiante se inicie en las lecturas militares
367new3,buenos dí­as
393new2,no es que no puedo
514new1,quién es el dueño de este edificio
275new5,las aguas se precipitaron sobre los españoles e indí­genas que huyeron
281new4,dos expediciones más al sur del valle de méxico emprendió cortés el cinco de abril de mil quinientos veinte y uno
662new1,atahualpa no fue puesto en libertad
169new3,en una ceremonia se pintaba de blanco al lí­der azteca para el combate
265new5,moctezuma fue muerto por sus captores y tomó su cargo cuitlahuac
291new4,finalmente cuauhtemoc fue hecho prisionero por cristóbal e olid y llevado ante cortés
672new1,duró casi cuarenta años
179new3,entre el siete y ocho de noviembre de mil quinientos diecinueve entró cortés a la metrópoli mexicana en orden de guerra
420new5,tengo dolor de cabeza
576new,se inicia una guerra civil
227new,pánfilo de narváez desembarca en zempoala y cortés acude a enfrentarlo derrotándolo
644new3,se dirigió a los españoles en idioma quechua
558new5,enrique canta mal
476new,somos realistas
654new3,pizarro mientras tanto habí­a tomado a atahualpa
327new,a los jefes y jerarquí­as enemigos se les ofrecí­an puestos en la administración imperial
430new5,la cuenta por favor
